epoch,loss,micro_f1,accuracy
1,1.1834778001142499,0.2702516373664254,0.0
2,1.0431628876777144,0.46834126040428065,0.00133422281521014
3,0.8454188924866846,0.5429179072735006,0.0133422281521014
4,0.7286980644845956,0.5670821114369502,0.025350233488992662
5,0.6249807136168186,0.5863984674329502,0.037358238825883926
6,0.5444317097593686,0.6073735466560668,0.054036024016010674
7,0.47429440371458986,0.6075148049826424,0.06204136090727151
8,0.4149032350359635,0.6274341964476782,0.08272181454302868
9,0.3738730556030895,0.630420850245674,0.08338892595063375
10,0.3342370925902707,0.6400177659338219,0.10073382254836558
11,0.30298932618850877,0.6454689984101749,0.1114076050700467
12,0.2746834370329054,0.6370786516853932,0.11207471647765177
13,0.24821576104686144,0.6453884597910041,0.11741160773849232
14,0.22708929146854165,0.640625,0.11541027351567712
15,0.21127644632950296,0.648272664038952,0.12808539026017346
16,0.1925838899149015,0.6475109376847582,0.13275517011340893
17,0.1760859482924189,0.6489196609764832,0.142761841227485
18,0.16324564137764788,0.6477074869413814,0.12608405603735823
19,0.15007128107457463,0.6390361445783133,0.13208805870580387
20,0.13900119505585204,0.6502544679843768,0.13875917278185457
21,0.1299221571537534,0.6518072289156627,0.14409606404269512
22,0.11846840740894272,0.6503319251659626,0.14076050700466977
23,0.11349160722803606,0.6499576219881341,0.13475650433622416
24,0.10543010444965331,0.6524051244863428,0.1400933955970647
25,0.0983578795102625,0.6517533252720678,0.13742494996664442
26,0.0927567532531224,0.6513060620995564,0.15076717811874582
27,0.08828113320402985,0.6512082011227728,0.14809873248832556
28,0.08506002430896581,0.654280510018215,0.14076050700466977
29,0.07973976635274435,0.6545899632802937,0.14342895263509006
30,0.07529024489312337,0.6505462133300601,0.14809873248832556
31,0.07308246233756498,0.6533021768540155,0.1467645096731154
32,0.0695386810519192,0.6513626319666094,0.142761841227485
33,0.066317999463678,0.654360753221011,0.15410273515677117
34,0.06434498421876571,0.6542402172571288,0.14209472981987992
