epoch,loss,micro_f1,accuracy
1,1.1666323335678113,0.4283987915407855,0.00266844563042028
2,0.9670152074867817,0.5204418067919552,0.02334889926617745
3,0.7933534348591985,0.5556246115599751,0.024683122081387593
4,0.675451726428403,0.5789875835721108,0.04803202134756504
5,0.5746243343670845,0.6030769230769231,0.052701801200800535
6,0.48740556845072763,0.6133671742808798,0.07538358905937291
7,0.4169404116957396,0.6207844381012793,0.07605070046697798
8,0.35522317333495396,0.6298260500636402,0.08539026017344896
9,0.3115911725224368,0.6345256609642301,0.1027351567711808
10,0.26803106466105653,0.6432115471357691,0.11941294196130754
11,0.2349074261753631,0.6499942640816795,0.12941961307538358
12,0.2059779116255361,0.6513629842180775,0.14743162108072047
13,0.1817464631115247,0.6484103040148527,0.13542361574382922
14,0.16328835330836447,0.6447653429602888,0.13742494996664442
15,0.14104027432259517,0.6451535795386638,0.14076050700466977
16,0.12718125390243204,0.6504726576522676,0.142761841227485
17,0.11266125262856944,0.6522370012091898,0.14543028685790527
18,0.10125888591027693,0.6467649567442427,0.15476984656437626
19,0.09145726128716256,0.6519661889011393,0.1534356237491661
20,0.07980830206821796,0.6508557457212714,0.1534356237491661
21,0.07295258858328856,0.6562731997030438,0.16344229486324216
22,0.06487331749855135,0.6554580294226727,0.15877251501000667
23,0.061110157351869,0.6547999017922906,0.1601067378252168
24,0.05372892949254714,0.6549417884567749,0.1601067378252168
25,0.04991448457394478,0.6550911571375418,0.15943962641761175
26,0.04448855996751625,0.6541147132169576,0.16744496330887257
27,0.04097727914518487,0.6572385560104206,0.15877251501000667
28,0.03846836342864038,0.6522334204305089,0.15943962641761175
29,0.03621358681167745,0.6508272173155866,0.15877251501000667
30,0.03241405184639596,0.6545857988165681,0.1627751834556371
31,0.03131466852127015,0.6539126141693409,0.15877251501000667
32,0.02854021725840989,0.6582626060908637,0.16077384923282187
33,0.026851070328707847,0.659217877094972,0.1694462975316878
34,0.025939743581063043,0.6569543020794422,0.16077384923282187
35,0.023432629815174612,0.6537634408602151,0.16544362908605736
36,0.022605500411539334,0.6596845425867508,0.17078052034689792
37,0.021761569199154288,0.6577063183017209,0.16410940627084722
38,0.02063966158493167,0.6580499435311833,0.16344229486324216
39,0.02043771810392529,0.6593683150874544,0.16077384923282187
40,0.020280057580483263,0.6587112171837709,0.16210807204803201
